NAME,MBID,URL,IMAGE_SMALL,IMAGE
Brian Eno,ff95eb47-41c4-4f7f-a104-cdc30f02e872,https://www.last.fm/music/Brian+Eno,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
The Brian Jonestown Massacre,381e8434-109a-439c-8acc-5d328359f2e0,https://www.last.fm/music/The+Brian+Jonestown+Massacre,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Rich Brian,,https://www.last.fm/music/Rich+Brian,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Bad Brains,e919b253-da5b-4aae-a444-6a368376a2d6,https://www.last.fm/music/Bad+Brains,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Tyler,30480808-4c03-432c-9e94-dd3b12d4e127,https://www.last.fm/music/Brian+Tyler,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brainstorm,fc1c1379-b319-4057-8251-5ccc13aebb2b,https://www.last.fm/music/Brainstorm,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Wilson,634fe78e-fc6b-4b2a-ba83-c8c66e13a8aa,https://www.last.fm/music/Brian+Wilson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian McKnight,bf75ef89-7b4c-4771-ac43-4d5c10617190,https://www.last.fm/music/Brian+McKnight,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Crain,2913055b-380d-4a1f-8709-6dff60405acf,https://www.last.fm/music/Brian+Crain,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Fallon,20d7beef-118f-493c-99f9-3931835cb658,https://www.last.fm/music/Brian+Fallon,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Unknown Brain,,https://www.last.fm/music/Unknown+Brain,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Eno & David Byrne,ff95eb47-41c4-4f7f-a104-cdc30f02e872,https://www.last.fm/music/Brian+Eno+&+David+Byrne,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
The Brian Setzer Orchestra,3c98e32e-5bf5-4484-bdab-bd8d1736112a,https://www.last.fm/music/The+Brian+Setzer+Orchestra,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian McBride,96fba87b-e156-43d2-997a-a845e0ae2117,https://www.last.fm/music/Brian+McBride,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Culbertson,4bb39356-0c2d-4318-a20b-12323f05eeaa,https://www.last.fm/music/Brian+Culbertson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brain Sounds AI,,https://www.last.fm/music/Brain+Sounds+AI,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brainiac,d574debd-ef1d-42b1-b6de-a19b5054a7e4,https://www.last.fm/music/Brainiac,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Harold Budd/Brian Eno,5c864a6f-146e-4225-986d-3295ce90f784,https://www.last.fm/music/Harold+Budd%2FBrian+Eno,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian May,6d24f102-5c43-453a-8664-4ee092f441cf,https://www.last.fm/music/Brian+May,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brainbombs,45e05ecc-6b55-41b1-8545-60b5c1761fb6,https://www.last.fm/music/Brainbombs,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Setzer,7878a1ce-1f6d-4e44-8a2c-39e7bc547dde,https://www.last.fm/music/Brian+Setzer,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brainbox,1ad29893-7ecc-462b-99e5-70577a682970,https://www.last.fm/music/Brainbox,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brainstory,,https://www.last.fm/music/Brainstory,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Regan,1af32dd1-893d-43f3-8e09-af38a902d56f,https://www.last.fm/music/Brian+Regan,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Reitzell,46ac828f-1765-445d-bb91-a10fd7291dd7,https://www.last.fm/music/Brian+Reitzell,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Artificial Brain,bb27d41e-978a-4dc7-98c8-1e614d185b61,https://www.last.fm/music/Artificial+Brain,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Hyland,1de9c97e-2409-409b-bf99-3ae711af6e4e,https://www.last.fm/music/Brian+Hyland,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Alpha Brain Waves,,https://www.last.fm/music/Alpha+Brain+Waves,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brian Simpson,984d1733-3188-4b0e-ae13-7b75110adc2f,https://www.last.fm/music/Brian+Simpson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Brain Timbre,,https://www.last.fm/music/Brain+Timbre,,
