NAME,MBID,URL,IMAGE_SMALL,IMAGE
John Mayer,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,https://www.last.fm/music/John+Mayer,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Johnny Cash,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,https://www.last.fm/music/Johnny+Cash,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Elton John,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,https://www.last.fm/music/Elton+John,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Jack Johnson,ff6e677f-91dd-4986-a174-8db0474b1799,https://www.last.fm/music/Jack+Johnson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Johann Sebastian Bach,24f1766e-9635-4d58-a4d4-9413f9f98a4c,https://www.last.fm/music/Johann+Sebastian+Bach,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Lennon,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Williams,fb9719bf-c477-4223-b319-986eb4168a91,https://www.last.fm/music/John+Williams,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Legend,75a72702-a5ef-4513-bca5-c5b944903546,https://www.last.fm/music/John+Legend,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Frusciante,f1571db1-c672-4a54-a2cf-aaa329f26f0b,https://www.last.fm/music/John+Frusciante,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Father John Misty,172053e5-a7fb-4548-a64d-c53858b5e775,https://www.last.fm/music/Father+John+Misty,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Coltrane,b625448e-bf4a-41c3-a421-72ad46cdb831,https://www.last.fm/music/John+Coltrane,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Jon Hopkins,0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,https://www.last.fm/music/Jon+Hopkins,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Jon Bellion,2bd8101a-11c3-42d5-a9bd-6a3b26445f7e,https://www.last.fm/music/Jon+Bellion,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Maus,c6be66af-28b4-4b87-a8ba-3f46ec6fe986,https://www.last.fm/music/John+Maus,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Denver,34e10b51-b5c6-4bc1-b70e-f05f141eda1e,https://www.last.fm/music/John+Denver,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Jóhann Jóhannsson,578c1e77-4756-44dd-86a9-b1e71a5b635e,https://www.last.fm/music/J%C3%B3hann+J%C3%B3hannsson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Johannes Brahms,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,https://www.last.fm/music/Johannes+Brahms,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Powell,52bb713d-b0c9-4bf6-9f58-392388d5cc11,https://www.last.fm/music/John+Powell,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Daniel Johnston,8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76,https://www.last.fm/music/Daniel+Johnston,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Newman,589ef702-7f3a-4a1c-8f2c-4727005cfc0e,https://www.last.fm/music/John+Newman,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Lee Hooker,b0122194-c49a-46a1-ade7-84d1d76bd8e9,https://www.last.fm/music/John+Lee+Hooker,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Sleepy John,,https://www.last.fm/music/Sleepy+John,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Jon Brion,a32e4aac-1db8-4dc6-be34-a813c4530627,https://www.last.fm/music/Jon+Brion,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Peter Bjorn and John,32a83250-7e26-422d-b9ac-f4564343e9ce,https://www.last.fm/music/Peter+Bjorn+and+John,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Mellencamp,0aad6b52-fd93-4ea4-9c5d-1f66e1bc9f0a,https://www.last.fm/music/John+Mellencamp,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
John Prine,e86492c1-0376-4df0-8042-8ba058c83960,https://www.last.fm/music/John+Prine,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Johnny Flynn,ce19a7e1-8c47-4dc6-9492-ef907ddc6514,https://www.last.fm/music/Johnny+Flynn,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
The John Butler Trio,7952b266-9fd4-4a09-a324-7dc84f11b5fc,https://www.last.fm/music/The+John+Butler+Trio,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
